protocolNumber,oldIrbNo,newIrbNo
PSYCH-2018-26890,STUDY00004148,SITE00000329
PSYCH-2019-28084,STUDY00009412,SITE00000818
PSYCH-2019-28121,STUDY00007651,SITE00000661
PSYCH-2019-28235,STUDY00009765,SITE00000856
PSYCH-2020-29008,STUDY00010423,SITE00000924
PSYCH-2020-29217,STUDY00010997,SITE00000993
PSYCH-2020-29217,STUDY00011121,SITE00001008
PSYCH-2020-29302,STUDY00011509,SITE00001055
PSYCH-2020-29400,STUDY00012895,SITE00001202
PSYCH-2021-29447,STUDY00011650,SITE00001069
PSYCH-2021-29684,STUDY00014298,SITE00001344
PSYCH-2021-30271,STUDY00014361,SITE00001352
psych-2022-30688,STUDY00015419,SITE00001497
PSYCH-2022-30807,STUDY00018258,SITE00001844
PSYCH-2023-31860,STUDY00019550,SITE00001986
RAD-2020-29138,STUDY00010186,SITE00000901
RHEUM-2019-27491,STUDY00005721,SITE00000477
RHEUM-2019-27804,STUDY00006584,SITE00000545
RHEUM-2019-28067,STUDY00007313,SITE00000623
SPH-2021-30258,STUDY00014432,SITE00001367
SPH-2022-30557,STUDY00010801,SITE00000966
SURG-2016-24905,1612M02863,SITE00000120
SURG-2017-26309,STUDY00002597,SITE00000169
SURG-2019-27941,STUDY00007227,SITE00000610
SURG-2019-28362,STUDY00008580,SITE00000734
SURG-2020-29002,STUDY00012399,SITE00001139
SURG-2020-29237,STUDY00011890,SITE00001092
SURG-2021-29042,STUDY00012141,SITE00001111
SURG-2021-30253,STUDY00014969,SITE00001447
SURG-2022-30245,STUDY00017467,SITE00001754
SURG-2023-31213,STUDY00019701,SITE00002000
SURG-2023-31288,STUDY00017732,SITE00001791
SURG-2023-31789,STUDY00019120,SITE00001922
SURG-2023-32109,STUDY00019670,SITE00001997
URO-2017-25420,1611M00961,SITE00000033
URO-2020-28621,STUDY00009200,SITE00000789
URO-2021-29631,STUDY00012452,SITE00001148
URO-2022-30776,STUDY00016936,SITE00001699
