protocolNumber,oldIrbNo,newIrbNo
2020LS220,STUDY00012786,SITE00001192
2020UC049,STUDY00010299,SITE00000913
2020UC190,STUDY00011383,SITE00001037
2021CG011,STUDY00012110,SITE00001108
2021CG035,STUDY00016993,SITE00001705
2021CG038,STUDY00012652,SITE00001178
2021CG040,STUDY00012693,SITE00001183
2021CG054,STUDY00013015,SITE00001217
2021CG091,STUDY00013241,SITE00001240
2021CG107,STUDY00013407,SITE00001258
2021CG120,STUDY00013667,SITE00001279
2021CG137,STUDY00013898,SITE00001304
2021CG153,STUDY00014698,SITE00001413
2021CG156,STUDY00014319,SITE00001347
2021CG167,STUDY00014928,SITE00001440
2021CG171,STUDY00014678,SITE00001408
2021CG176,STUDY00014918,SITE00001439
2021CG184,STUDY00014956,SITE00001444
2021IS015,STUDY00013435,SITE00001261
2021IS023,STUDY00012543,SITE00001161
2021IS044,STUDY00012835,SITE00001195
2021IS051,STUDY00014550,SITE00001384
2021IS070,STUDY00013200,SITE00001234
2021IS082,STUDY00013345,SITE00001249
2021IS100,STUDY00015178,SITE00001472
2021IS118,STUDY00013724,SITE00001282
2021IS119,STUDY00014027,SITE00001320
2021IS130,STUDY00014242,SITE00001337
2021IS130,STUDY00018140,SITE00001836
2021IS131,STUDY00014167,SITE00001332
2021IS141,STUDY00014590,SITE00001391
2021IS152,STUDY00014640,SITE00001398
2021IS163,STUDY00015488,SITE00001508
2021IS164,STUDY00015887,SITE00001565
2021IS174,STUDY00015731,SITE00001545
2021IS179,STUDY00016755,SITE00001666
2021LS077,STUDY00014330,SITE00001349
2021LS103,STUDY00016513,SITE00001636
2021UC101,STUDY00013330,SITE00001248
2021UC146,STUDY00015210,SITE00001475
2021UC181,STUDY00015901,SITE00001571
2022CG008,STUDY00015023,SITE00001450
2022CG010,STUDY00015866,SITE00001563
2022CG011,STUDY00015833,SITE00001559
2022CG021,STUDY00015549,SITE00001519
2022CG090,STUDY00016802,SITE00001674
2022CG111,STUDY00016911,SITE00001697
2022CG116,STUDY00017234,SITE00001733
2022CG118,STUDY00017037,SITE00001713
2022CG152,STUDY00017650,SITE00001780
2022CG158,STUDY00017658,SITE00001782
2022CG166,STUDY00018221,SITE00001839
2022IS002,STUDY00015038,SITE00001454
2022IS022,STUDY00016260,SITE00001608
2022IS066,STUDY00019201,SITE00001932
2022IS067,STUDY00017496,SITE00001758
2022IS074,STUDY00018043,SITE00001828
2022IS097,STUDY00017429,SITE00001750
2022IS103,STUDY00019143,SITE00001926
2022IS106,STUDY00018881,SITE00001898
2022IS110,STUDY00017035,SITE00001712
2022IS114,STUDY00017877,SITE00001809
2022IS133,STUDY00018821,SITE00001895
2022IS139,STUDY00017672,SITE00001784
2022IS151,STUDY00018771,SITE00001887
2022IS167,STUDY00018779,SITE00001889
2022LS028,STUDY00016721,SITE00001660
2022LS034,STUDY00016877,SITE00001690
2022UC004,STUDY00015522,SITE00001514
2022UC035,STUDY00016089,SITE00001589
2022UC044,STUDY00016460,SITE00001628
2022UC071,STUDY00016996,SITE00001707
2022UC072,STUDY00019480,SITE00001975
2022UC108,STUDY00017208,SITE00001730
2022UC123,STUDY00017530,SITE00001764
2022UC124,STUDY00017542,SITE00001766
2022UC137,STUDY00018283,SITE00001846
2023CG022,STUDY00018465,SITE00001858
2023CG028,STUDY00018562,SITE00001870
2023CG033,STUDY00020168,SITE00002060
2023CG038,STUDY00018640,SITE00001874
2023CG042,STUDY00018024,SITE00001822
2023CG045,STUDY00018695,SITE00001881
2023CG050-N4,STUDY00019658,SITE00001995
2023CG071,STUDY00019302,SITE00001947
2023CG077,STUDY00019444,SITE00001972
2023CG093,STUDY00019528,SITE00001984
2023CG095,STUDY00019521,SITE00001982
2023CG096,STUDY00020133,SITE00002052
2023CG127,STUDY00020250,SITE00002076
2023IS004,STUDY00018782,SITE00001890
2023IS011,STUDY00019587,SITE00001987
2023IS027,STUDY00018982,SITE00001908
2023IS031,STUDY00019495,SITE00001978
2023IS063,STUDY00019486,SITE00001976
2023IS068,STUDY00019334,SITE00001953
2023IS107,STUDY00020448,SITE00002088
2023LS021,STUDY00017675,SITE00001786
2023UC051,STUDY00019284,SITE00001945
2023UC051,STUDY00019007,SITE00001911
25866,STUDY00000779,SITE00000084
30334-NEUR-2021,STUDY00014700,SITE00001415
ANES-2019-28125,STUDY00007232,SITE00000611
ANES-2019-28302,STUDY00007957,SITE00000686
ANES-2019-28446,STUDY00008334,SITE00000714
ANES-2020-28756,STUDY00009571,SITE00000836
ANES-2020-28966,STUDY00010620,SITE00000944
ANES-2020-29278,STUDY00011410,SITE00001043
ANES-2021-29679,STUDY00012859,SITE00001199
ANES-2021-30232,STUDY00014392,SITE00001357
ANES-2021-30290,STUDY00014663,SITE00001405
ANES-2022-30624,STUDY00015169,SITE00001470
CV-2016-24579,1607M90302,SITE00000115
CV-2017-25423,1702M07281,SITE00000044
